FORMULARY_ID|FORMULARY_VERSION|CONTRACT_YEAR|RXCUI|NDC|TIER_LEVEL_VALUE|QUANTITY_LIMIT_YN|QUANTITY_LIMIT_AMOUNT|QUANTITY_LIMIT_DAYS|PRIOR_AUTHORIZATION_YN|STEP_THERAPY_YN
00021000|14|2021|1551300|00002143380|2|Y|2|28|N|N
00021000|14|2021|1551306|00002143480|2|Y|2|28|N|N
00021000|14|2021|2058877|00002143611|2|Y|2|30|Y|N
00021000|14|2021|1745108|00002144511|2|N| | |Y|N
00021000|14|2021|2395779|00002223680|2|Y|2|28|N|N
00021000|14|2021|2058887|00002237711|2|Y|2|30|Y|N
00021000|14|2021|2370174|00002298026|2|Y|120|30|Y|N
00021000|14|2021|2170613|00002311509|2|Y|3|30|Y|N
00021000|14|2021|2395785|00002318280|2|Y|2|28|N|N
00021000|14|2021|2370170|00002397760|2|Y|180|30|Y|N
00021000|14|2021|2047247|00002418230|2|N| | |Y|N
00021000|14|2021|2256947|00002431208|2|Y|8|30|Y|N
00021000|14|2021|1946836|00002448354|2|Y|56|28|Y|N
00021000|14|2021|2256943|00002449108|2|Y|8|30|Y|N
00021000|14|2021|2205474|00002473230|2|N| | |Y|N
00021000|14|2021|1946840|00002481554|2|Y|56|28|Y|N
00021000|14|2021|1946844|00002533754|2|Y|56|28|Y|N
00021000|14|2021|1946848|00002621654|2|Y|56|28|Y|N
00021000|14|2021|207834|00002733511|2|N| | |Y|N
00021000|14|2021|1718936|00002763511|2|Y|2|28|N|N
00021000|14|2021|1745114|00002772411|2|N| | |Y|N
00021000|14|2021|729234|00002814701|2|N| | |Y|N
00021000|14|2021|582971|00002814801|2|N| | |Y|N
00021000|14|2021|582976|00002814901|2|N| | |Y|N
00021000|14|2021|1435117|00002840001|2|Y|2.4|28|Y|N
00021000|14|2021|351859|00002850101|2|Y|40|28|N|N
00021000|14|2021|1731317|00002882427|2|Y|24|28|N|N
00021000|14|2021|643177|00003052411|2|Y|30|30|Y|N
00021000|14|2021|643173|00003052711|2|Y|90|30|Y|N
00021000|14|2021|643175|00003052811|2|Y|30|30|Y|N
00021000|14|2021|799830|00003085222|2|Y|30|30|Y|N
00021000|14|2021|1045408|00003085522|2|Y|30|30|Y|N
00021000|14|2021|1045404|00003085722|2|Y|30|30|Y|N
00021000|14|2021|1364441|00003089321|2|Y|60|30|N|N
00021000|14|2021|1364447|00003089421|2|Y|60|30|N|N
00021000|14|2021|1145932|00003218811|2|N| | |Y|N
00021000|14|2021|1799230|00003218851|2|N| | |Y|N
00021000|14|2021|1925255|00003281411|2|N| | |Y|N
00021000|14|2021|1925257|00003281811|2|N| | |Y|N
00021000|14|2021|1598989|00003363810|2|N| | |N|N
00021000|14|2021|1601660|00003364111|2|N| | |N|N
00021000|14|2021|1992428|00003376474|2|N| | |N|N
00021000|14|2021|213282|00003633517|2|N| | |N|N
00021000|14|2021|213283|00003633617|2|N| | |N|N
00021000|14|2021|213284|00003633717|2|N| | |N|N
00021000|14|2021|859865|00004024451|2|N| | |N|N
00021000|14|2021|352297|00004035009|2|N| | |N|N
00021000|14|2021|731328|00004035730|2|N| | |N|N
00021000|14|2021|404460|00004038140|2|N| | |N|N
00021000|14|2021|1593140|00005010005|2|N| | |N|N
